,doc,sentence,statement,ARG0_highdim,ARG0_lowdim,B-V_highdim,B-V_lowdim,B-ARGM-NEG_highdim,B-ARGM-NEG_lowdim,B-ARGM-MOD_highdim,ARG1_highdim,ARG1_lowdim,ARG2_highdim,ARG2_lowdim,B-V_lowdim_with_neg,B-V_highdim_with_neg,narrative_highdim,narrative_lowdim
104982,1061623758161625089,50284,104982,veteran,politician,worn,break,,,,uniform,mini mike,,,not_break,not_worn,veteran not_worn uniform,politician not_worn mini mike
104983,1061623758161625089,50284,104983,veteran,politician,kept,continue,,,,nation safe strong free,people,,,not_continue,not_kept,veteran not_kept nation safe strong free,politician not_kept people
104998,1061382890100002817,50290,104998,camp woolsey fire california,california,burn,fire,,,,acre,swamp,,,not_fire,not_burn,camp woolsey fire california not_burn acre,california not_burn swamp
105044,1061003186125856769,50312,105044,president macron france,france,suggest,suggest,,,,europe build military order protect china russia,military,,,not_suggest,not_suggest,president macron france not_suggest europe build military order protect china russia,france not_suggest military
105045,1061003186125856769,50312,105045,europe,world,build,build,,,,military,military,,,not_build,not_build,europe not_build military,world not_build military
105048,1061003186125856769,50313,105048,europe,world,pay,pay,,,,fair share nato subsidizes greatly,nato,,,not_pay,not_pay,europe not_pay fair share nato subsidizes greatly,world not_pay nato
105061,1028355187939987465,50320,105061,great people,great,love,know,,,,country,country,,,not_know,not_love,great people not_love country,great not_love country
105066,1060960329876697088,50321,105066,broward county,colorado,,,,,,number,number,,,not_,not_,broward county not_ number,colorado not_ number
105073,1060958713047961600,50323,105073,bill nelson,john,concede,grant,,,,election play,advantage,,,not_grant,not_concede,bill nelson not_concede election play,john not_concede advantage
105083,1060942600994050048,50328,105083,jeff flakey,omarosa,want,want,True,True,,protect non senate confirm special counsel,senate,,,want,want,jeff flakey want protect non senate confirm special counsel,omarosa want senate
105084,1060942600994050048,50328,105084,jeff flakey,omarosa,protect,protect,,,,non senate confirm special counsel,senate,,,not_protect,not_protect,jeff flakey not_protect non senate confirm special counsel,omarosa not_protect senate
105091,1060938144336367616,50330,105091,democrat,democrat,sent,send,,,,best election steal lawyer marc elia,comey,,,not_send,not_sent,democrat not_sent best election steal lawyer marc elia,democrat not_sent comey
105092,1060938144336367616,50330,105092,lawyer,case,steal,steal,,,,election,election,,,not_steal,not_steal,lawyer not_steal election,case not_steal election
105099,1060938144336367616,50331,105099,lawyer,case,expose,expose,,,,fraud,collusion,,,not_expose,not_expose,lawyer not_expose fraud,case not_expose collusion
105104,1060924708101644288,50333,105104,let,help,blame,blame,,,,russian,russian,,,not_blame,not_blame,let not_blame russian,help not_blame russian
105105,1060924708101644288,50333,105105,let,help,demand,need,,,,immediate apology president putin,problem,,,not_need,not_demand,let not_demand immediate apology president putin,help not_demand problem
105110,1060908430062481408,50336,105110,presidential proclamation,second amendment,address,speak,,,,mass migration southern border united state,border,,,not_speak,not_address,presidential proclamation not_address mass migration southern border united state,second amendment not_address border
105114,1060723241193484288,50339,105114,law enforcement,law,look,look,,,,big corruption scandal election fraud palm beach,collusion,,,not_look,not_look,law enforcement not_look big corruption scandal election fraud palm beach,law not_look collusion
105116,1060723241193484288,50339,105116,big corruption scandal,collusion,,,,,,election fraud palm beach,swamp,,,not_,not_,big corruption scandal not_ election fraud palm beach,collusion not_ swamp
105117,1060723241193484288,50340,105117,florida,florida,vote,vote,,,,rick scott,john,,,not_vote,not_vote,florida not_vote rick scott,florida not_vote john
105119,1060515116700045312,50342,105119,police,dead,,,,,,great bravery,great,,,not_,not_,police not_ great bravery,dead not_ great
105124,1060515116700045312,50345,105124,god,god,bless,sign,,,,victim family victim,crime,,,not_sign,not_bless,god not_bless victim family victim,god not_bless crime
105134,1060511925883285504,50350,105134,police officer,dead,enter,enter,,,,bar,wall,,,not_enter,not_enter,police officer not_enter bar,dead not_enter wall
105154,1060194964351660033,50357,105154,angry democrat,democrat,lead,run,,,,disgust witch hunt,witch hunt,,,not_run,not_lead,angry democrat not_lead disgust witch hunt,democrat not_lead witch hunt
105156,1060162807960870913,50358,105156,nancy pelosi,nancy pelosi,deserves,deserve,,,,chosen speaker house democrat,house,,,not_deserve,not_deserves,nancy pelosi not_deserves chosen speaker house democrat,nancy pelosi not_deserves house
105158,1060162807960870913,50358,105158,democrat,democrat,chosen,choose,,,,nancy pelosi,nancy pelosi,speaker house,house,not_choose,not_chosen,democrat not_chosen nancy pelosi,democrat not_chosen nancy pelosi
105164,1060155917059219461,50361,105164,democrat,democrat,think,think,,,,waste taxpayer money investigate house level,house,,,not_think,not_think,democrat not_think waste taxpayer money investigate house level,democrat not_think house
105192,1060138691778301953,50369,105192,ron desantis,comey,,,,,,great courage,great,,,not_,not_,ron desantis not_ great courage,comey not_ great
105200,1060130202418864129,50371,105200,foreign nation,world,hop,hop,,,,trade deal,deal,,,not_hop,not_hop,foreign nation not_hop trade deal,world not_hop deal
105231,1060056007316045825,50383,105231,incumbent president,campaign,won,win,,,,seat senate,senate,,,not_win,not_won,incumbent president not_won seat senate,campaign not_won senate
105232,1060056007316045825,50384,105232,mr trump,trump,,,,,,magic,story,,,not_,not_,mr trump not_ magic,trump not_ story
105233,1060056007316045825,50385,105233,guy,thing,,,,,,magic come ear,hand,,,not_,not_,guy not_ magic come ear,thing not_ hand
105240,1059897349005283334,50390,105240,congressman randy hultgren illinois,omarosa,,,,,,great job,great,,,not_,not_,congressman randy hultgren illinois not_ great job,omarosa not_ great
105253,1059827782434328582,50400,105253,democrat,democrat,,,,,,rumor,correct,,,not_,not_,democrat not_ rumor,democrat not_ correct
105254,1059827782434328582,50400,105254,josh hawley missouri,james comey,left,allow,,,,arena,team,,,not_allow,not_left,josh hawley missouri not_left arena,james comey not_left team
105273,1059674931737300993,50411,105273,claire,rosie,vote,vote,,,,favor deadly sanctuary city,fight,,,not_vote,not_vote,claire not_vote favor deadly sanctuary city,rosie not_vote fight
105317,1059561007520116741,50431,105317,republican,republican,create,create,,,,best economy history country hottest job market planet earth,country,,,not_create,not_create,republican not_create best economy history country hottest job market planet earth,republican not_create country
105328,1059557569818181632,50437,105328,vote,vote,bring,work,,,,economic boom crash sudden screech halt,hater loser,,,not_work,not_bring,vote not_bring economic boom crash sudden screech halt,vote not_bring hater loser
105347,1059470847751131138,50448,105347,law enforcement,law,watch,watch,,,,illegal voting place tuesday election early voting,election,,,not_watch,not_watch,law enforcement not_watch illegal voting place tuesday election early voting,law not_watch election
105353,1059470847751131138,50449,105353,law,law,allow,let,,,,maximum criminal penalty,crime,,,not_let,not_allow,law not_allow maximum criminal penalty,law not_allow crime
105361,1059469158830796800,50454,105361,rick scott,john,,,,,,request dollar plus florida,florida,,,not_,not_,rick scott not_ request dollar plus florida,john not_ florida
105362,1059469158830796800,50454,105362,rick scott,john,request,request,,,,dollar plus florida,florida,,,not_request,not_request,rick scott not_request dollar plus florida,john not_request florida
105391,1059439426022137856,50468,105391,senator claire mccaskill,jeb,vote,vote,,,,great state missouri,great state,,,not_vote,not_vote,senator claire mccaskill not_vote great state missouri,jeb not_vote great state
105406,1059433483423178752,50475,105406,people michigan,michigan,want,want,,,,thing,thing,,,not_want,not_want,people michigan not_want thing,michigan not_want thing
105407,1059433483423178752,50475,105407,people michigan,michigan,need,want,,,,thing,thing,,,not_want,not_need,people michigan not_need thing,michigan not_need thing
105409,1059433483423178752,50476,105409,boss,politician,control,check,,,,automatic far left vote,vote,,,not_check,not_control,boss not_control automatic far left vote,politician not_control vote
105421,1059317426653933568,50480,105421,dems,dems,elect,elect,,,,super liberal weak crime bad military amp vet,military,,,not_elect,not_elect,dems not_elect super liberal weak crime bad military amp vet,dems not_elect military
105423,1059310562771984390,50481,105423,john james,john,run,work,,,,senate michigan,michigan,,,not_work,not_run,john james not_run senate michigan,john not_run michigan
105434,1059264061030969344,50484,105434,people tennessee,colorado,defend,fight,,,,border,border,,,not_fight,not_defend,people tennessee not_defend border,colorado not_defend border
105440,1059258034474704897,50487,105440,god,god,bless,sign,,,,usa,usa,,,not_sign,not_bless,god not_bless usa,god not_bless usa
105463,1059101889898430464,50499,105463,new fox poll,fox,,,,,,approval rating african american president trump,trump,,,not_,not_,new fox poll not_ approval rating african american president trump,fox not_ trump
105494,1058856438091710464,50514,105494,governor dougducey arizona,arizona,,,,,,great job,great,,,not_,not_,governor dougducey arizona not_ great job,arizona not_ great
105500,1058829196062048257,50519,105500,rick scott,john,,,,,,behalf people florida,florida,,,not_,not_,rick scott not_ behalf people florida,john not_ florida
105508,1058827516427808768,50523,105508,rumor,correct,,,,,,senator joe donnelly indiana pay facebook ad opponent libertarian ticket,joe,,,not_,not_,rumor not_ senator joe donnelly indiana pay facebook ad opponent libertarian ticket,correct not_ joe
105513,1058827516427808768,50524,105513,donnelly,comey,try,try,,,,steal election,lie,,,not_try,not_try,donnelly not_try steal election,comey not_try lie
105514,1058827516427808768,50524,105514,donnelly,comey,steal,steal,,,,election,election,,,not_steal,not_steal,donnelly not_steal election,comey not_steal election
105529,1058820790546821120,50529,105529,chuck schumer nancy pelosi,nancy pelosi,gain,win,,,,majority,second amendment,,,not_win,not_gain,chuck schumer nancy pelosi not_gain majority,nancy pelosi not_gain second amendment
105534,1058820790546821120,50529,105534,regulation,law,kill,kill,,,,job,people,,,not_kill,not_kill,regulation not_kill job,law not_kill people
105540,1058781668151050240,50531,105540,everybody,thing,admits,allow,,,,line crowd far big barack obamas,campaign,,,not_allow,not_admits,everybody not_admits line crowd far big barack obamas,thing not_admits campaign
105550,1058715144442781696,50538,105550,vicious accuser justice kavanaugh,case,admit,allow,,,,lie,lie,,,not_allow,not_admit,vicious accuser justice kavanaugh not_admit lie,case not_admit lie
105596,1058553398172237824,50563,105596,scott,john,,,,,,total endorsement,campaign,,,not_,not_,scott not_ total endorsement,john not_ campaign
105597,1058521517821190146,50564,105597,republican,republican,believe,think,,,,country sanctuary law abide american criminal alien,country,,,not_think,not_believe,republican not_believe country sanctuary law abide american criminal alien,republican not_believe country
105612,1058498592208494592,50568,105612,people west virginia,virginia,send,send,,,,message,letter,chuck schumer maxine water nancy pelosi radical democrat,nancy pelosi,not_send,not_send,people west virginia not_send message,virginia not_send letter
105613,1058498592208494592,50568,105613,people west virginia,virginia,voting,vote,,,,carol miller patrick morrisey,rosie,,,not_vote,not_voting,people west virginia not_voting carol miller patrick morrisey,virginia not_voting rosie
105646,1058182740414226433,50586,105646,loyal citizen like,smart,help,help,,,,build country,country,,,not_help,not_help,loyal citizen like not_help build country,smart not_help country
105657,1058100070158098433,50592,105657,illegal immigration,illegal immigrant,affect,involve,,,,life american,american,,,not_involve,not_affect,illegal immigration not_affect life american,illegal immigrant not_affect american
105658,1058100070158098433,50593,105658,illegal immigration,illegal immigrant,hurt,hurt,,,,american worker,american,,,not_hurt,not_hurt,illegal immigration not_hurt american worker,illegal immigrant not_hurt american
105659,1058100070158098433,50593,105659,illegal immigration,illegal immigrant,burden,charge,,,,american taxpayer,american,,,not_charge,not_burden,illegal immigration not_burden american taxpayer,illegal immigrant not_burden american
105660,1058100070158098433,50593,105660,illegal immigration,illegal immigrant,undermines,weaken,,,,public safety,law,,,not_weaken,not_undermines,illegal immigration not_undermines public safety,illegal immigrant not_undermines law
105661,1058100070158098433,50593,105661,illegal immigration,illegal immigrant,place,send,,,,enormous strain,ebola,local school hospital community,care,not_send,not_place,illegal immigration not_place enormous strain,illegal immigrant not_place ebola
105667,1058065457851351040,50596,105667,walker,john,,,,,,complete total endorsement,money,,,not_,not_,walker not_ complete total endorsement,john not_ money
105711,1057683481793302528,50622,105711,harry reid,john,agree,agree,,,,birthright citizenship,vet,,,not_agree,not_agree,harry reid not_agree birthright citizenship,john not_agree vet
105720,1057674390446448642,50624,105720,new republican majority,republican,closing,close,,,,immigration loophole,sanction,,,not_close,not_closing,new republican majority not_closing immigration loophole,republican not_closing sanction
105723,1057655675080314880,50625,105723,republican,republican,protect,protect,,,,people pre exist condition,day,,,not_protect,not_protect,republican not_protect people pre exist condition,republican not_protect day
105725,1057654684356395008,50626,105725,donald trump,donald trump,,,,,,good promise,help,,,not_,not_,donald trump not_ good promise,donald trump not_ help
105729,1057638285026254848,50628,105729,world,world,use,use,,,,law,law,detriment,classify information,not_use,not_use,world not_use law,world not_use law
105736,1057637708296794114,50631,105736,open border,border,brings,work,,,,massive crime,number,,,not_work,not_brings,open border not_brings massive crime,border not_brings number
105743,1057637708296794114,50634,105743,united state supreme court,supreme court,settle,fall,,,,case,case,,,not_fall,not_settle,united state supreme court not_settle case,supreme court not_settle case
105764,1057619304949133312,50644,105764,today,people,look,look,,,,good,thing,,,not_look,not_look,today not_look good,people not_look thing
105783,1057614564639019009,50653,105783,bad thug gang member,hell,,,,,,caravan,car,,,not_,not_,bad thug gang member not_ caravan,hell not_ car
105789,1057612657665171457,50656,105789,tough fighter people,plane,,,,,,caravan,car,,,not_,not_,tough fighter people not_ caravan,plane not_ car
105794,1057612657665171457,50658,105794,mexican soldier,ukrainian president,stop,stop,,,,caravan,car,,,not_stop,not_stop,mexican soldier not_stop caravan,ukrainian president not_stop car
105801,1057325873312026624,50662,105801,kevin,john,,,,,,total endorsement,campaign,,,not_,not_,kevin not_ total endorsement,john not_ campaign
105809,1057325717162213378,50666,105809,mike,john,,,,,,total endorsement,campaign,,,not_,not_,mike not_ total endorsement,john not_ campaign
105813,1057325714721124355,50668,105813,outstanding man,honor,love,know,,,,state,state,,,not_know,not_love,outstanding man not_love state,honor not_love state
105815,1057288679390097408,50669,105815,consumer confidence,economy,hit,hit,,,,high level,interest,,,not_hit,not_hit,consumer confidence not_hit high level,economy not_hit interest
105817,1057254051254013953,50670,105817,fed,fed,start,start,,,,talk little dovish,jeb,,,not_start,not_start,fed not_start talk little dovish,fed not_start jeb
105828,1057249169507803137,50672,105828,stock market,million,,,,,,little pause,question,,,not_,not_,stock market not_ little pause,million not_ question
105829,1057249169507803137,50672,105829,people,people,want,want,,,,happens midterm,election,,,not_want,not_want,people not_want happens midterm,people not_want election
105830,1057249169507803137,50672,105830,people,people,,,,,,happens midterm,election,,,not_,not_,people not_ happens midterm,people not_ election
105844,1057247021919297536,50677,105844,highly respect,right,love,know,,,,state amp country,country,,,not_know,not_love,highly respect not_love state amp country,right not_love country
105846,1057243826899877889,50679,105846,congressman andy barr kentucky,john,,,,,,great debate,great,,,not_,not_,congressman andy barr kentucky not_ great debate,john not_ great
105850,1057243826899877889,50680,105850,strong crime border tax cut military vet nd amendment,military,need,want,,,,andy,john,,,not_want,not_need,strong crime border tax cut military vet nd amendment not_need andy,military not_need john
105863,1057109765178966017,50689,105863,fighter,plane,,,,,,great job,great,virginia country,virginia,not_,not_,fighter not_ great job,plane not_ great
105878,1057108130662899713,50700,105878,congress,congress,respect,honor,,,,incredible leader,fantastic,,,not_honor,not_respect,congress not_respect incredible leader,congress not_respect fantastic
105883,1057106631652196354,50703,105883,congressman rodblum iowa,iowa,,,,,,desperately need flood wall cedar rapid impossible,swamp,,,not_,not_,congressman rodblum iowa not_ desperately need flood wall cedar rapid impossible,iowa not_ swamp
105892,1057106123260678144,50708,105892,popular guy,story,know,know,,,,job,people,,,not_know,not_know,popular guy not_know job,story not_know people
105906,1057102418947858438,50717,105906,popular guy,story,know,know,,,,job,people,,,not_know,not_know,popular guy not_know job,story not_know people
105922,1057063101189836801,50727,105922,dishonest reporter,press,use,use,,,,word medium,word,,,not_use,not_use,dishonest reporter not_use word medium,press not_use word
105927,1057059603605831680,50730,105927,cnn fake news business,fake news,,,,,,purposely inaccurately reporting medium enemy people,correct,,,not_,not_,cnn fake news business not_ purposely inaccurately reporting medium enemy people,fake news not_ correct
105928,1057059603605831680,50730,105928,cnn fake news business,fake news,reporting,report,,,,medium enemy people,dead,,,not_report,not_reporting,cnn fake news business not_reporting medium enemy people,fake news not_reporting dead
105936,1056923033141698561,50734,105936,congressman keith rothfus pennsylvania,pennsylvania,,,,,,great job,great,,,not_,not_,congressman keith rothfus pennsylvania not_ great job,pennsylvania not_ great
105951,1056919064906469376,50737,105951,caravan,car,head,lead,,,,southern border,border,,,not_lead,not_head,caravan not_head southern border,car not_head border
105965,1056885392522260480,50741,105965,brazil united state,state,work,work,,,,trade military,military,,,not_work,not_work,brazil united state not_work trade military,state not_work military
105973,1056879122348195841,50746,105973,inaccurate fraudulent reporting news,correct,cause,cause,,,,great anger,great,,,not_cause,not_cause,inaccurate fraudulent reporting news not_cause great anger,correct not_cause great
105976,1056879122348195841,50747,105976,fake news medium true enemy people,fake news,stop,stop,,,,open amp obvious hostility,disgrace,,,not_stop,not_stop,fake news medium true enemy people not_stop open amp obvious hostility,fake news not_stop disgrace
105977,1056879122348195841,50747,105977,fake news medium true enemy people,fake news,report,report,,,,news,press,,,not_report,not_report,fake news medium true enemy people not_report news,fake news not_report press
105982,1056700376718684160,50749,105982,fake news,fake news,,,,,,power blame republican conservative division hatred long country,country,,,not_,not_,fake news not_ power blame republican conservative division hatred long country,fake news not_ country
105983,1056700376718684160,50749,105983,fake news,fake news,blame,blame,,,,republican conservative,republican,division hatred long country,country,not_blame,not_blame,fake news not_blame republican conservative,fake news not_blame republican
105989,1056700376718684160,50750,105989,fake amp dishonest reporting,correct,cause,cause,,,,problem,problem,,,not_cause,not_cause,fake amp dishonest reporting not_cause problem,correct not_cause problem
106001,1056592374607024130,50752,106001,craze amp stumble lunatic,hater loser,run,work,,,,money,money,,,not_work,not_run,craze amp stumble lunatic not_run money,hater loser not_run money
106012,1056391795523895296,50758,106012,manager,john,,,,,,pitcher loose amp dominate inning rich hill dodger,rod,,,not_,not_,manager not_ pitcher loose amp dominate inning rich hill dodger,john not_ rod
106015,1056391795523895296,50758,106015,manager,john,brings,work,,,,nervous reliever shellac,rod,,,not_work,not_brings,manager not_brings nervous reliever shellac,john not_brings rod
106036,1056299896406450176,50766,106036,brave police officer,dead,sustain,support,,,,injury,advantage,,,not_support,not_sustain,brave police officer not_sustain injury,dead not_sustain advantage
106039,1056270246141681664,50767,106039,horrific shoot,disaster,target,target,,,,jewish american,american,,,not_target,not_target,horrific shoot not_target jewish american,disaster not_target american
106040,1056270246141681664,50767,106040,horrific shoot,disaster,kill,kill,,,,jewish american,american,,,not_kill,not_kill,horrific shoot not_kill jewish american,disaster not_kill american
106045,1056270246141681664,50768,106045,federal authority,government,support,stand,,,,state local police,state,,,not_stand,not_support,federal authority not_support state local police,government not_support state
106076,1056175920476766208,50785,106076,trump,trump,smear,smear,,,,supporter,leader,,,not_smear,not_smear,trump not_smear supporter,trump not_smear leader
106093,1055893947531382784,50791,106093,country,country,,,,,,need,help,,,not_,not_,country not_ need,country not_ help
106113,1055872564386398209,50797,106113,law enforcement,law,apprehend,arrest,,,,suspect,crime,,,not_arrest,not_apprehend,law enforcement not_apprehend suspect,law not_apprehend crime
106124,1055826295337172993,50799,106124,news,press,talk,talk,True,True,,politics,leader,,,talk,talk,news talk politics,press talk leader
106130,1055822810940129283,50802,106130,twitter,twitter,remove,hit,,,,people,people,account,tax,not_hit,not_remove,twitter not_remove people,twitter not_remove people
106143,1055820292881350656,50806,106143,united state,state,spending,drop,,,,illegal immigration,illegal immigrant,,,not_drop,not_spending,united state not_spending illegal immigration,state not_spending illegal immigrant
106147,1055820292881350656,50808,106147,democrat,democrat,,,,,,vote pas strong fair law,vote,,,not_,not_,democrat not_ vote pas strong fair law,democrat not_ vote
106166,1055599805395812352,50812,106166,roughly marine,number,,,,,,peace,deal,,,not_,not_,roughly marine not_ peace,number not_ deal
106167,1055599805395812352,50812,106167,civil war,law,torn,charge,,,,nation,world,,,not_charge,not_torn,civil war not_torn nation,law not_torn world
106169,1055599805395812352,50813,106169,terrorist,terrorist,bombed,fail,,,,embassy,kurd,,,not_fail,not_bombed,terrorist not_bombed embassy,terrorist not_bombed kurd
106170,1055599805395812352,50813,106170,terrorist,terrorist,kill,kill,,,,people include american,american,,,not_kill,not_kill,terrorist not_kill people include american,terrorist not_kill american
106182,1055559438977900544,50819,106182,bruce,john,help,help,,,,bring job state,state,,,not_help,not_help,bruce not_help bring job state,john not_help state
106183,1055559438977900544,50819,106183,bruce,john,bring,work,,,,job,people,state,state,not_work,not_bring,bruce not_bring job,john not_bring people
106185,1055559438977900544,50819,106185,bruce,john,protects,protect,,,,great second amendment,great,,,not_protect,not_protects,bruce not_protects great second amendment,john not_protects great
106193,1055555764901822466,50823,106193,mike,john,love,know,,,,vet great second amendment,great,,,not_know,not_love,mike not_love vet great second amendment,john not_love great
106194,1055555764901822466,50824,106194,mike,john,,,,,,complete total endorsement,money,,,not_,not_,mike not_ complete total endorsement,john not_ money
106199,1055555312864952321,50828,106199,lloyd,james comey,,,,,,total endorsement,campaign,,,not_,not_,lloyd not_ total endorsement,james comey not_ campaign
106201,1055548549595873280,50829,106201,troybalderson ohio,ohio,,,,,,great job,great,,,not_,not_,troybalderson ohio not_ great job,ohio not_ great
106204,1055548549595873280,50830,106204,great guy,great,,,,,,total endorsement,campaign,,,not_,not_,great guy not_ total endorsement,great not_ campaign
106215,1055531231495024642,50836,106215,united state,state,,,,,,hard line illegal immigration,law,,,not_,not_,united state not_ hard line illegal immigration,state not_ law
106217,1055531231495024642,50837,106217,prime minister,president,work,work,,,,economy italy,world,,,not_work,not_work,prime minister not_work economy italy,president not_work world
106224,1055531230022766592,50838,106224,italy,world,,,,,,hard line illegal immigration,law,,,not_,not_,italy not_ hard line illegal immigration,world not_ law
106229,1055529948046331904,50840,106229,flotus melania,melania,attend,look,,,,armistice day centennial commemoration,vet,,,not_look,not_attend,flotus melania not_attend armistice day centennial commemoration,melania not_attend vet
106238,1055458320390217728,50844,106238,new york time,new york,,,,,,new fake story russian chinese glad finally add china listen cellphone,chinese,,,not_,not_,new york time not_ new fake story russian chinese glad finally add china listen cellphone,new york not_ chinese
106241,1055458320390217728,50844,106241,russian chinese glad finally add china,chinese,listen,hear,,,,cellphone,system,,,not_hear,not_listen,russian chinese glad finally add china not_listen cellphone,chinese not_listen system
106249,1055418269270716418,50848,106249,purposely false inaccurate reporting mainstream medium refer fake news,fake news,cause,cause,,,,big anger today society,god,,,not_cause,not_cause,purposely false inaccurate reporting mainstream medium refer fake news not_cause big anger today society,fake news not_cause god
106255,1055418269270716418,50850,106255,mainstream medium,leader,clean,pick,,,,act,law,,,not_pick,not_clean,mainstream medium not_clean act,leader not_clean law
106258,1055414972635926528,50851,106258,democrat,democrat,inspire,inspire,,,,law,law,,,not_inspire,not_inspire,democrat not_inspire law,democrat not_inspire law
106259,1055414972635926528,50851,106259,democrat inspire law,democrat,,,,,,tough stop people border,border,,,not_,not_,democrat inspire law not_ tough stop people border,democrat not_ border
106269,1055412328571850753,50854,106269,expert trump new york time,new york,write,save,,,,long boring article cellphone usage incorrect time correct,system,,,not_save,not_write,expert trump new york time not_write long boring article cellphone usage incorrect time correct,new york not_write system
106289,1055077740792160256,50863,106289,republican,republican,protect,protect,,,,people pre exist condition,day,,,not_protect,not_protect,republican not_protect people pre exist condition,republican not_protect day
106295,1055075245743374336,50866,106295,stacey abrams,james comey,destroy,destroy,,,,state,state,,,not_destroy,not_destroy,stacey abrams not_destroy state,james comey not_destroy state
106334,1054755401651179521,50884,106334,inept politician,corrupt,try,try,,,,use massive ridiculously high hurricane disaster funding pay obligation,tax,,,not_try,not_try,inept politician not_try use massive ridiculously high hurricane disaster funding pay obligation,corrupt not_try tax
106335,1054755401651179521,50884,106335,inept politician,corrupt,use,use,,,,massive ridiculously high hurricane disaster funding,corrupt,pay obligation,sanction,not_use,not_use,inept politician not_use massive ridiculously high hurricane disaster funding,corrupt not_use corrupt
106336,1054755401651179521,50884,106336,inept politician,corrupt,pay,pay,,,,obligation,sanction,,,not_pay,not_pay,inept politician not_pay obligation,corrupt not_pay sanction
106339,1054732552488083459,50886,106339,jay webber new jersey,james comey,run,work,,,,congress,congress,,,not_work,not_run,jay webber new jersey not_run congress,james comey not_run congress
106341,1054732552488083459,50886,106341,jay webber new jersey run congress,congress,,,,,,great job,great,person look raise tax substantially,tax,not_,not_,jay webber new jersey run congress not_ great job,congress not_ great
106343,1054732552488083459,50886,106343,person,right,look,look,,,,raise tax substantially,tax,,,not_look,not_look,person not_look raise tax substantially,right not_look tax
106344,1054732552488083459,50886,106344,person,right,raise,fire,,,,tax,tax,,,not_fire,not_raise,person not_raise tax,right not_raise tax
106345,1054732552488083459,50887,106345,jay,john,want,want,,,,big tax cut change,tax,,,not_want,not_want,jay not_want big tax cut change,john not_want tax
106348,1054732552488083459,50888,106348,jay,john,,,,,,job,people,,,not_,not_,jay not_ job,john not_ people
106353,1054588738641178624,50889,106353,congressman erik paulsen great state minnesota,great state,,,,,,fantastic job cut tax job kill regulation,law,,,not_,not_,congressman erik paulsen great state minnesota not_ fantastic job cut tax job kill regulation,great state not_ law
106354,1054588738641178624,50889,106354,congressman erik paulsen great state minnesota,great state,cut,cut,,,,tax job kill regulation,law,,,not_cut,not_cut,congressman erik paulsen great state minnesota not_cut tax job kill regulation,great state not_cut law
106364,1054560552117133313,50896,106364,today democrat party,democrat,protect,protect,,,,criminal alien,hell,,,not_protect,not_protect,today democrat party not_protect criminal alien,democrat not_protect hell
106374,1054556416155910144,50897,106374,radical democrat mob,democrat,,,,,,giant wreck ball country economy,country,,,not_,not_,radical democrat mob not_ giant wreck ball country economy,democrat not_ country
106404,1054451954397667328,50914,106404,fake news medium,fake news,talk,talk,,,,recent approval rating country world include european union,country,,,not_talk,not_talk,fake news medium not_talk recent approval rating country world include european union,fake news not_talk country
106411,1054356145798856704,50918,106411,guatemala honduras el salvador,puerto rico,,,,,,job stop people leave country come illegally,country,,,not_,not_,guatemala honduras el salvador not_ job stop people leave country come illegally,puerto rico not_ country
106413,1054356145798856704,50918,106413,people,people,leave,allow,,,,country,country,,,not_allow,not_leave,people not_leave country,people not_leave country
106422,1054354059535269888,50920,106422,people,people,attempt,try,,,,come country illegally,country,,,not_try,not_attempt,people not_attempt come country illegally,people not_attempt country
106425,1054354059535269888,50920,106425,people,people,blame,blame,,,,democrat,democrat,vote change pathetic immigration law,vote,not_blame,not_blame,people not_blame democrat,people not_blame democrat
106432,1054351078328885248,50923,106432,mexico police military,military,stop,stop,,,,caravan head southern border united state,border,,,not_stop,not_stop,mexico police military not_stop caravan head southern border united state,military not_stop border
106433,1054351078328885248,50923,106433,caravan,car,head,lead,,,,southern border united state,border,,,not_lead,not_head,caravan not_head southern border united state,car not_head border
106443,1054348185160896513,50928,106443,rd district,city,,,,,,great job,great,,,not_,not_,rd district not_ great job,city not_ great
106446,1054187956024590336,50930,106446,mayor,campaign,presides,preside,,,,bad run corrupt city florida,florida,,,not_preside,not_presides,mayor not_presides bad run corrupt city florida,campaign not_presides florida
106449,1054187956024590336,50931,106449,governor rick scott,john,,,,,,great job,great,,,not_,not_,governor rick scott not_ great job,john not_ great
106451,1054187956024590336,50932,106451,gillum,omarosa,,,,,,florida venezuela,florida,,,not_,not_,gillum not_ florida venezuela,omarosa not_ florida
106453,1054142516881248258,50933,106453,facebook,twitter,state,tell,,,,set system purge fake news,fake news,,,not_tell,not_state,facebook not_state set system purge fake news,twitter not_state fake news
106456,1054142516881248258,50933,106456,system,system,purge,cast,,,,fake news,fake news,,,not_cast,not_purge,system not_purge fake news,system not_purge fake news
106474,1054087893034172418,50940,106474,illegal alien,hell,cross,cover,,,,souther border,border,,,not_cover,not_cross,illegal alien not_cross souther border,hell not_cross border
106476,1054087893034172418,50941,106476,people,people,apply,use,,,,asylum,illegal immigrant,,,not_use,not_apply,people not_apply asylum,people not_apply illegal immigrant
106482,1054087893034172418,50942,106482,court,case,ask,need,,,,thing doable,hater loser,,,not_need,not_ask,court not_ask thing doable,case not_ask hater loser
